property_id,listing_date,price,area_sqm,city,rooms
1,2025-04-12 14:23:01,250000.0,65.5,Warsaw,3
2,2024-11-05 09:15:32,180000.0,45.2,Krakow,2
3,2025-01-20 18:44:12,-10000.0,55.0,Wroclaw,2
4,2024-08-15 11:22:00,,75.0,Gdansk,3
5,2026-02-10 16:05:55,15000000.0,120.0,Warsaw,4
6,2025-03-01 22:11:43,310000.0,,Krakow,3
7,2024-12-25 08:00:00,0.0,35.0,Wroclaw,1
8,2025-07-14 13:54:21,420000.0,110.0,Gdansk,4
9,2025-05-19 10:30:00,135000.0,,Warsaw,2
10,2024-06-30 17:41:19,1.0,85.0,Krakow,3
11,2025-09-05 12:15:00,295000.0,58.0,Gdansk,2
12,2024-10-12 14:22:11,510000.0,115.5,Warsaw,4
13,2025-02-28 19:01:05,210000.0,48.0,Wroclaw,2
14,2024-07-19 07:45:30,,32.5,Krakow,1
15,2025-11-30 21:18:22,450000.0,92.0,Gdansk,3
16,2026-01-05 15:33:44,38000000.0,250.0,Krakow,5
17,2024-09-22 11:11:11,195000.0,,Wroclaw,2
18,2025-06-15 13:14:15,-5000.0,60.0,Warsaw,3
19,2025-03-25 16:40:22,270000.0,52.0,Gdansk,2
20,2024-05-18 09:05:00,340000.0,78.0,Warsaw,3
